"","Postcode.Sector","name","oslaua","Population","Area.Sq.Km","People.per.Sq.Km","oscty","gor","code","all.operators.2G","all.operators.3G","all.operators.4G","pop.d.rank","LA.area","LA.2G.coverage","LA.3G.coverage","LA.4G.coverage","area_allocated.2G","area_coverage.2G","area_allocated.3G","area_coverage.3G","area_allocated.4G","area_coverage.4G","sitefinder.count","geotype","site.density","ex.pcd","distance"
"1","AB101","Aberdeen City","S12000033",2260,0.751998,3005.3271418275,"S99999999","S99999999","00QA",89.77,78.81,14.49,17,496.809094,445.9855236838,391.5352469814,71.9876377206,0.751998,100,0.751998,100,0.751998,100,5,"Suburban 2",6.64895385360067,"AB116EA",0.356
"2","AB106","Aberdeen City","S12000033",10702,1.545156,6926.16150084522,"S99999999","S99999999","00QA",89.77,78.81,14.49,3,496.809094,445.9855236838,391.5352469814,71.9876377206,1.545156,100,1.545156,100,1.545156,100,3,"Suburban 1",1.94155153266078,"AB157XR",0.989
"3","AB107","Aberdeen City","S12000033",9002,2.583983,3483.76904956418,"S99999999","S99999999","00QA",89.77,78.81,14.49,13,496.809094,445.9855236838,391.5352469814,71.9876377206,2.583983,100,2.583983,100,2.583983,100,4,"Suburban 1",1.54799780029513,"AB157XR",1.293
"4","AB115","Aberdeen City","S12000033",1721,10.019353,171.767578205898,"S99999999","S99999999","00QA",89.77,78.81,14.49,31,496.809094,445.9855236838,391.5352469814,71.9876377206,10.019353,99.9999999999999,10.019353,99.9999999999999,0,0,10,"Rural 1",0.998068438151645,"AB116EA",3.455
"5","AB116","Aberdeen City","S12000033",6372,0.813774,7830.18381024707,"S99999999","S99999999","00QA",89.77,78.81,14.49,2,496.809094,445.9855236838,391.5352469814,71.9876377206,0.813774,100,0.813774,100,0.813774,100,13,"Suburban 1",15.9749512763986,"AB116EA",0.324
"6","AB117","Aberdeen City","S12000033",2823,0.746988,3779.17717553696,"S99999999","S99999999","00QA",89.77,78.81,14.49,12,496.809094,445.9855236838,391.5352469814,71.9876377206,0.746988,100,0.746988,100,0.746988,100,3,"Suburban 1",4.01612877315298,"AB123AJ",1.017
"7","AB118","Aberdeen City","S12000033",6956,5.059078,1374.95409242554,"S99999999","S99999999","00QA",89.77,78.81,14.49,24,496.809094,445.9855236838,391.5352469814,71.9876377206,5.059078,100,5.059078,100,5.059078,100,2,"Suburban 2",0.395328951243685,"AB123AJ",2.84
"8","AB119","Aberdeen City","S12000033",3365,1.235951,2722.59984416858,"S99999999","S99999999","00QA",89.77,78.81,14.49,20,496.809094,445.9855236838,391.5352469814,71.9876377206,1.235951,100,1.235951,100,1.235951,100,2,"Suburban 2",1.61818712877776,"AB116EA",2.007
"9","AB123","Aberdeenshire","S12000034",8256,15.307212,539.353606652864,"S99999999","S99999999","00QB",45.67,3.49,0.01,10,5139.313138,2347.1243101246,179.3620285162,0.5139313138,15.307212,100,15.307212,100,0,0,13,"Rural 1",0.849272878692736,"AB123AJ",2.274
"10","AB124","Aberdeenshire","S12000034",8107,16.719253,484.890084503177,"S99999999","S99999999","00QB",45.67,3.49,0.01,11,5139.313138,2347.1243101246,179.3620285162,0.5139313138,16.719253,100,16.719253,100,0,0,5,"Rural 1",0.29905642315479,"AB124RB",0.349
