pcd_sector,name,oslaua,population_weight,area_sq_km,oscty,gor,sitefinder.count,geotype,site.density
CB102,Cambridgeshire,E07000012,8887,97.5932,E10000003,E12000006,4,Rural 2,0.040986462
CB11,Cambridgeshire,E07000008,3643,0.689,E10000003,E12000006,7,Suburban 1,10.15965167
CB12,Cambridgeshire,E07000008,7603,1.0252,E10000003,E12000006,5,Suburban 1,4.877097152
CB17,Cambridgeshire,E07000008,4396,1.0359,E10000003,E12000006,3,Suburban 1,2.896032436
CB18,Cambridgeshire,E07000008,5656,1.7716,E10000003,E12000006,2,Suburban 1,1.128923007
CB19,Cambridgeshire,E07000012,9443,10.1561,E10000003,E12000006,6,Suburban 2,0.590777956
CB20,Cambridgeshire,E07000008,1173,1.7714,E10000003,E12000006,2,Rural 1,1.129050469
CB21,Cambridgeshire,E07000008,7559,1.3897,E10000003,E12000006,8,Suburban 1,5.756638123
CB214,Cambridgeshire,E07000008,8505,85.1558,E10000003,E12000006,8,Rural 2,0.093945451
CB215,Cambridgeshire,E07000012,5556,65.6115,E10000003,E12000006,5,Rural 2,0.076206153
CB216,Cambridgeshire,E07000008,1565,17.7847,E10000003,E12000006,5,Rural 2,0.281140531
CB223,Cambridgeshire,E07000008,7765,23.9646,E10000003,E12000006,10,Rural 1,0.417282158
CB224,Cambridgeshire,E07000012,4311,21.9754,E10000003,E12000006,8,Rural 1,0.36404343
CB225,Cambridgeshire,E07000012,7617,23.15,E10000003,E12000006,6,Rural 1,0.259179266
CB226,Cambridgeshire,E07000012,1232,7.1109,E10000003,E12000006,0,Rural 1,0
CB227,Cambridgeshire,E07000012,3100,20.3105,E10000003,E12000006,4,Rural 1,0.196942468
CB231,Cambridgeshire,E07000008,2656,25.8956,E10000003,E12000006,3,Rural 2,0.115849797
CB232,Cambridgeshire,E07000012,1961,31.7099,E10000003,E12000006,3,Rural 2,0.094607678
CB233,Cambridgeshire,E07000012,3452,11.0809,E10000003,E12000006,1,Rural 1,0.090245377
CB234,Cambridgeshire,E07000008,1081,37.2096,E10000003,E12000006,2,Rural 3,0.05374957
CB235,Cambridgeshire,E07000012,2337,0.9967,E10000003,E12000006,1,Suburban 2,1.003310926
CB237,Cambridgeshire,E07000008,8509,33.3375,E10000003,E12000006,7,Rural 1,0.209973753
CB238,Cambridgeshire,E07000008,5040,22.7233,E10000003,E12000006,5,Rural 1,0.220038463
CB243,Cambridgeshire,E07000008,4184,20.1002,E10000003,E12000006,2,Rural 1,0.099501497
CB244,Cambridgeshire,E07000012,3319,22.1395,E10000003,E12000006,2,Rural 1,0.090336277
CB245,Cambridgeshire,E07000012,6877,33.8994,E10000003,E12000006,3,Rural 1,0.088497142
CB246,Cambridgeshire,E07000012,4251,7.2036,E10000003,E12000006,3,Rural 1,0.416458437
CB248,Cambridgeshire,E07000012,6543,34.8094,E10000003,E12000006,2,Rural 1,0.057455745
CB249,Cambridgeshire,E07000012,7866,13.0511,E10000003,E12000006,2,Rural 1,0.153243788
CB250,Cambridgeshire,E07000008,8216,58.2472,E10000003,E12000006,3,Rural 1,0.051504622
CB259,Cambridgeshire,E07000012,10048,71.1547,E10000003,E12000006,8,Rural 1,0.112431083
CB27,Cambridgeshire,E07000008,495,0.3799,E10000003,E12000006,0,Suburban 2,0
CB28,Cambridgeshire,E07000008,3875,2.9523,E10000003,E12000006,5,Suburban 2,1.693594824
CB29,Cambridgeshire,E07000012,3153,4.1112,E10000003,E12000006,2,Rural 1,0.486475968
CB30,Cambridgeshire,E07000012,8737,11.414,E10000003,E12000006,16,Rural 1,1.401787279
CB39,Cambridgeshire,E07000008,7533,7.3835,E10000003,E12000006,8,Suburban 2,1.083496987
CB41,Cambridgeshire,E07000012,15887,4.3301,E10000003,E12000006,7,Suburban 1,1.616590841
CB42,Cambridgeshire,E07000012,14379,2.4977,E10000003,E12000006,5,Suburban 1,2.001841694
CB43,Cambridgeshire,E07000012,11632,3.181,E10000003,E12000006,5,Suburban 1,1.571832757
CB58,Cambridgeshire,E07000012,11036,10.2373,E10000003,E12000006,11,Suburban 2,1.074502066
CB62,Cambridgeshire,E07000009,11941,114.0172,E10000003,E12000006,2,Rural 2,0.017541213
CB63,Cambridgeshire,E07000009,14012,87.197,E10000003,E12000006,7,Rural 1,0.080277991
CB74,Cambridgeshire,E07000009,8619,55.5441,E10000003,E12000006,7,Rural 1,0.126025987
CB75,Cambridgeshire,E07000009,17997,159.8786,E10000003,E12000006,11,Rural 1,0.068802204
CB80,Cambridgeshire,E07000009,9676,27.2246,E10000003,E12000006,10,Rural 1,0.367314855
IP288,Cambridgeshire,E07000009,9813,53.3467,E10000003,E12000006,7,Rural 1,0.131217114
PE380,Cambridgeshire,E07000009,4815,117.1512,E10000003,E12000006,5,Rural 3,0.042679887
SG85,Cambridgeshire,E07000012,10627,42.6532,E10000003,E12000006,6,Rural 1,0.140669399
SG87,Cambridgeshire,E07000012,7620,21.6869,E10000003,E12000006,6,Rural 1,0.276664715
