X,Y,Operator,Opref,Sitengr,Antennaht,Transtype,Freqband,Anttype,Powerdbw,Maxpwrdbw,Maxpwrdbm,Sitelat,Sitelng,pcd_sector,geo_code
545025.1174,258665.127,O2,9807,TL4491058710,5,GSM,900,Sectored,3.2,32,,52.207133,0.120961,CB1 1,12
545865.2048,258595.1699,O2,9809,TL4575058640,8,GSM,900,Sectored,6.3,32,,52.206283,0.133216,CB1 1,12
546015.2509,258655.1306,O2,36112,TL4590058700,2,UMTS,2100,Microcell,-0.5,,65,52.206782,0.135436,CB1 1,12
545955.2265,258485.0659,Orange,CAM0119,TL4584058530,16,GSM,1800,SECTOR,29.5,32,,52.20527,0.134485,CB1 1,12
545955.2265,258485.0659,Orange,CAM0119,TL4584058530,16,UMTS,2100,SECTOR,27.2,,65,52.20527,0.134485,CB1 1,12
545295.1307,258645.0976,Orange,CAM7018,TL4518058690,4.5,GSM,1800,MICROCELL,14.3,32,,52.206882,0.124901,CB1 1,12
546035.2814,258755.1184,Orange,CAM7019,TL4592058800,4.8,GSM,1800,MICROCELL,15.7,32,,52.207675,0.135772,CB1 1,12
545855.2228,258595.0988,Orange,CAM7020,TL4574058640,6,GSM,1800,MICROCELL,17.2,32,,52.206285,0.13307,CB1 1,12
546015.2329,258695.2008,Orange,CAM7066,TL4590058740,3,GSM,1800,Pico,-21,32,,52.207142,0.135453,CB1 1,12
545959.2209,258491.0828,Three,CB0387,TL4584458536,15.45,UMTS,2100,Sectored,25.75,,65,52.205323,0.134546,CB1 1,12
545959.2209,258491.0828,T-Mobile,91064,TL4584458536,17.8,GSM,1800,SECTOR,26,32,,52.205323,0.134546,CB1 1,12
545959.2209,258491.0828,T-Mobile,91064,TL4584458536,17.8,GSM,1800,SECTOR,26,32,,52.205323,0.134546,CB1 1,12
545959.2209,258491.0828,T-Mobile,91064,TL4584458536,17.8,GSM,1800,SECTOR,26,32,,52.205323,0.134546,CB1 1,12
545959.2209,258491.0828,T-Mobile,91064,TL4584458536,14.5,UMTS,2100,SECTOR,19,,65,52.205323,0.134546,CB1 1,12
545959.2209,258491.0828,T-Mobile,91064,TL4584458536,16.1,UMTS,2100,SECTOR,18,,65,52.205323,0.134546,CB1 1,12
545959.2209,258491.0828,T-Mobile,91064,TL4584458536,16.1,UMTS,2100,SECTOR,18,,65,52.205323,0.134546,CB1 1,12
545959.2209,258491.0828,Vodafone,46497,TL4584458536,13.7,UMTS,2100,Macro,28.1,,65,52.205323,0.134546,CB1 1,12
545959.2209,258491.0828,Vodafone,46497,TL4584458536,15.3,UMTS,2100,Macro,28.1,,65,52.205323,0.134546,CB1 1,12
545959.2209,258491.0828,Vodafone,46497,TL4584458536,13.7,UMTS,2100,Macro,28.1,,65,52.205323,0.134546,CB1 1,12
545815.2437,257354.9635,O2,44585,TL4570057400,17.35,UMTS,2100,Sectored,27.5,,65,52.195154,0.131952,CB1 2,12
546235.2858,258665.18,Orange,CAM7021,TL4612058710,4.1,GSM,1800,MICROCELL,17,32,,52.206814,0.138658,CB1 2,12
546445.2757,258455.1094,Orange,CAM7022,TL4633058500,3.2,GSM,1800,MICROCELL,17.5,32,,52.204871,0.141638,CB1 2,12
546145.2891,257995.0144,Orange,CAM7023,TL4603058040,3.9,GSM,1800,MICROCELL,16.2,32,,52.200817,0.137053,CB1 2,12
545808.212,257980.0794,Three,CB0375,TL4569358025,25,UMTS,2100,Sectored,25.75,,65,52.200772,0.132118,CB1 2,12
545821.1948,257341.0026,Three,CB0389,TL4570657386,18,UMTS,2100,Sectored,26.35,,65,52.195027,0.132033,CB1 2,12
545808.212,257980.0794,T-Mobile,69784,TL4569358025,21,GSM,1800,SECTOR,26,32,,52.200772,0.132118,CB1 2,12
545808.212,257980.0794,T-Mobile,69784,TL4569358025,18.3,GSM,1800,SECTOR,27,32,,52.200772,0.132118,CB1 2,12
545808.212,257980.0794,T-Mobile,69784,TL4569358025,21,GSM,1800,SECTOR,25,32,,52.200772,0.132118,CB1 2,12
545821.1948,257341.0026,T-Mobile,69816,TL4570657386,16.25,GSM,1800,SECTOR,27,32,,52.195027,0.132033,CB1 2,12
545821.1948,257341.0026,T-Mobile,69816,TL4570657386,14.6,GSM,1800,SECTOR,27,32,,52.195027,0.132033,CB1 2,12
545821.1948,257341.0026,T-Mobile,69816,TL4570657386,17.25,GSM,1800,SECTOR,27,32,,52.195027,0.132033,CB1 2,12
545843.25,257339.9817,T-Mobile,98976,TL4572857385,2.5,GSM,1800,SECTOR,0,32,,52.195012,0.132355,CB1 2,12
545808.212,257980.0794,T-Mobile,69784,TL4569358025,21.3,UMTS,2100,SECTOR,18,,65,52.200772,0.132118,CB1 2,12
