area_coverage_2016,area_coverage_2014,area_sq_km,pcd_sector,area_coverage_2015,name,site_count,site_density
100.0,0.0,0.458634,AB251,100.0,AberdeenCity,9,19.623490626512645
100.0,0.0,0.813774,AB116,100.0,AberdeenCity,16,19.661478494029055
100.0,0.0,1.545156,AB106,100.0,AberdeenCity,4,2.58873537688104
100.0,0.0,1.053482,AB253,100.0,AberdeenCity,5,4.746165572833707
100.0,0.0,1.84953,AB165,100.0,AberdeenCity,4,2.1627116078138773
100.0,0.0,1.29415,AB243,100.0,AberdeenCity,4,3.0908318201135883
100.0,0.0,1.246801,AB244,100.0,AberdeenCity,3,2.406157839141932
100.0,0.0,1.542515,AB242,100.0,AberdeenCity,4,2.593167651530131
100.0,0.0,1.382748,AB252,100.0,AberdeenCity,0,0
100.0,0.0,0.88261,AB155,100.0,AberdeenCity,3,3.3990097551579974
100.0,0.0,2.043764,AB166,100.0,AberdeenCity,2,0.9785865687036273
100.0,0.0,0.746988,AB117,50.44739675,AberdeenCity,3,4.016128773152983
100.0,0.0,2.583983,AB107,0.0,AberdeenCity,4,1.5479978002951258
100.0,0.0,3.378069,AB167,0.0,AberdeenCity,6,1.776162653871191
100.0,0.0,1.369803,AB154,0.0,AberdeenCity,0,0
100.0,0.0,2.115878,AB241,0.0,AberdeenCity,1,0.4726170412471797
100.0,0.0,0.751998,AB101,0.0,AberdeenCity,7,9.308535395040943
100.0,0.0,1.680366,AB157,0.0,AberdeenCity,5,2.9755422330611307
100.0,0.0,2.087808,AB156,0.0,AberdeenCity,10,4.789712463981362
100.0,0.0,1.235951,AB119,0.0,AberdeenCity,3,2.4272806931666384
100.0,0.0,2.002402,AB513,0.0,AberdeenCity,2,0.9988004406707545
100.0,0.0,3.692135,AB245,0.0,AberdeenCity,7,1.8959220071855445
100.0,0.0,11.113173,AB228,0.0,AberdeenCity,12,1.0797996215842227
100.0,0.0,5.059078,AB118,0.0,AberdeenCity,2,0.39532895124368506
100.0,0.0,11.592717,AB159,0.0,AberdeenCity,4,0.3450442204359858
100.0,0.0,14.336175,AB219,0.0,AberdeenCity,5,0.3487680640059151
22.07078042,0.0,29.588043,AB158,0.0,AberdeenCity,8,0.27037949079633283
0.0,0.0,16.561185,AB140,0.0,AberdeenCity,3,0.18114645781687724
0.0,0.0,9.652138,AB130,0.0,AberdeenCity,4,0.41441595634045014
0.0,0.0,64.8351,AB238,0.0,AberdeenCity,21,0.32389862898337474
0.0,0.0,10.019353,AB115,0.0,AberdeenCity,12,1.197682125781974
0.0,0.0,65.744523,AB315,0.0,AberdeenCity,4,0.06084157002705762
0.0,0.0,94.487805,AB210,0.0,AberdeenCity,15,0.15875064512293413
0.0,0.0,128.061259,AB517,0.0,AberdeenCity,4,0.03123505134366983
100.0,0.0,2.828607,AB422,0.353530908,Aberdeenshire,4,1.4141236304654554
91.02642728,0.0,4.307972,AB439,0.0,Aberdeenshire,5,1.1606389270868054
0.0,0.0,2.532297,AB514,0.0,Aberdeenshire,2,0.7897967734432415
0.0,0.0,4.139636,AB421,0.0,Aberdeenshire,8,1.9325370636452093
0.0,0.0,2.148376,AB548,0.0,Aberdeenshire,2,0.930935739367783
0.0,0.0,2.020803,AB451,0.0,Aberdeenshire,0,0
0.0,0.0,4.880238,DD108,0.0,Aberdeenshire,8,1.6392643145682648
0.0,0.0,3.219786,AB441,0.0,Aberdeenshire,1,0.31057964721879033
0.0,0.0,6.641961,AB419,0.0,Aberdeenshire,3,0.4516738354832255
0.0,0.0,15.307212,AB123,0.0,Aberdeenshire,17,1.1105876105981938
0.0,0.0,16.719253,AB124,0.0,Aberdeenshire,7,0.4186789924167067
0.0,0.0,1.944674,AB516,0.0,Aberdeenshire,0,0
0.0,0.0,41.014359,AB392,0.0,Aberdeenshire,10,0.2438170495362368
0.0,0.0,23.975949,AB217,0.0,Aberdeenshire,6,0.25025078256547845
0.0,0.0,55.292245,AB326,0.0,Aberdeenshire,5,0.09042859446202628
0.0,0.0,44.247877,AB125,0.0,Aberdeenshire,10,0.22599954343572234
0.0,0.0,38.472448,AB564,0.0,Aberdeenshire,11,0.2859188996759447
0.0,0.0,83.859841,AB534,0.0,Aberdeenshire,2,0.023849317815901893
0.0,0.0,160.2115,AB510,0.0,Aberdeenshire,14,0.08738448862909341
0.0,0.0,77.219191,AB555,0.0,Aberdeenshire,9,0.11655133760725363
0.0,0.0,126.281798,AB515,0.0,Aberdeenshire,12,0.0950255713020494
0.0,0.0,87.027596,AB425,0.0,Aberdeenshire,8,0.09192486484402028
0.0,0.0,83.969892,AB438,0.0,Aberdeenshire,2,0.023818060883060325
0.0,0.0,69.416581,AB420,0.0,Aberdeenshire,7,0.1008404605810246
0.0,0.0,89.369189,AB437,0.0,Aberdeenshire,14,0.156653541971831
0.0,0.0,89.126332,AB423,0.0,Aberdeenshire,10,0.11220028666724442
0.0,0.0,123.174406,AB417,0.0,Aberdeenshire,6,0.048711418182118126
0.0,0.0,77.586671,AB416,0.0,Aberdeenshire,9,0.11599930611792843
0.0,0.0,169.100135,AB393,0.0,Aberdeenshire,22,0.13010042836453087
0.0,0.0,112.503299,AB424,0.0,Aberdeenshire,7,0.06222039764362821
0.0,0.0,146.916668,AB526,0.0,Aberdeenshire,6,0.040839477791587274
0.0,0.0,150.582553,AB314,0.0,Aberdeenshire,11,0.07304963145365187
0.0,0.0,180.528925,AB418,0.0,Aberdeenshire,13,0.07201062101267151
0.0,0.0,118.593127,AB436,0.0,Aberdeenshire,6,0.050593151152848855
0.0,0.0,53.621683,AB536,0.0,Aberdeenshire,4,0.07459668880590713
0.0,0.0,82.083541,AB518,0.0,Aberdeenshire,5,0.060913551475563175
0.0,0.0,191.199683,AB345,0.0,Aberdeenshire,9,0.04707120774881201
0.0,0.0,108.268153,AB535,0.0,Aberdeenshire,8,0.07389061121232945
0.0,0.0,44.336088,AB327,0.0,Aberdeenshire,4,0.0902199580621547
0.0,0.0,282.726598,AB338,0.0,Aberdeenshire,14,0.04951780306145798
0.0,0.0,170.160849,AB538,0.0,Aberdeenshire,3,0.01763037747889939
0.0,0.0,76.611881,AB344,0.0,Aberdeenshire,3,0.03915841721729819
0.0,0.0,162.986632,AB453,0.0,Aberdeenshire,12,0.07362567011017199
