pcd_sector,oslaua,population_weight
CB11,E07000008,0.040725
CB12,E07000008,0.084993
CB17,E07000008,0.049143
CB18,E07000008,0.063228
CB20,E07000008,0.013113
CB21,E07000008,0.084502
CB214,E07000008,0.095077
CB216,E07000008,0.017495
CB223,E07000008,0.086804
CB231,E07000008,0.029691
CB234,E07000008,0.012084
CB237,E07000008,0.095122
CB238,E07000008,0.056342
CB243,E07000008,0.046773
CB250,E07000008,0.091846
CB27,E07000008,0.005534
CB28,E07000008,0.043318
CB39,E07000008,0.084211
CB62,E07000009,0.165714
CB63,E07000009,0.194454
CB74,E07000009,0.119612
CB75,E07000009,0.249757
CB80,E07000009,0.134281
IP288,E07000009,0.136182
CB102,E07000012,0.052316
CB19,E07000012,0.055589
CB215,E07000012,0.032707
CB224,E07000012,0.025378
CB225,E07000012,0.044840
CB226,E07000012,0.007253
CB227,E07000012,0.018249
CB232,E07000012,0.011544
CB233,E07000012,0.020321
CB235,E07000012,0.013757
CB244,E07000012,0.019538
CB245,E07000012,0.040484
CB246,E07000012,0.025025
CB248,E07000012,0.038517
CB249,E07000012,0.046306
CB259,E07000012,0.059151
CB29,E07000012,0.018561
CB30,E07000012,0.051433
CB41,E07000012,0.093524
CB42,E07000012,0.084647
CB43,E07000012,0.068475
CB58,E07000012,0.064967
SG85,E07000012,0.062559
SG87,E07000012,0.044858
