Operator,Anttype,Freqband,area_coverage_2016,pcd_sector,area_coverage_2015,name,geo_code,area_coverage_2014,Transtype,Sitengr
Vodafone,Macro,2100,,,,,,,UMTS,ID3853402585
Vodafone,Macro,2100,100.0,AB101,0.0,AberdeenCity,00QA,0.0,UMTS,NJ9331206158
Vodafone,Macro,2100,100.0,AB106,100.0,AberdeenCity,00QA,0.0,UMTS,NJ9298804640
T-Mobile,SECTOR,1800,100.0,AB107,0.0,AberdeenCity,00QA,0.0,GSM,NJ9172503700
Vodafone,Macro,2100,0.0,AB115,0.0,AberdeenCity,00QA,0.0,UMTS,NJ9492706615
Vodafone,Macro,2100,100.0,AB116,100.0,AberdeenCity,00QA,0.0,UMTS,NJ9342805508
Vodafone,Macro,2100,100.0,AB117,50.44739675,AberdeenCity,00QA,0.0,UMTS,NJ9381704838
Vodafone,Macro,2100,100.0,AB118,0.0,AberdeenCity,00QA,0.0,UMTS,NJ9524804678
Three,Sectored,2100,100.0,AB119,0.0,AberdeenCity,00QA,0.0,UMTS,NJ9519205159
Vodafone,Macro,2100,0.0,AB123,0.0,Aberdeenshire,00QA,0.0,UMTS,NJ9428002520
Vodafone,Macro,900,0.0,AB124,0.0,Aberdeenshire,00QB,0.0,GSM,NO9208097340
Vodafone,Macro,2100,0.0,AB125,0.0,Aberdeenshire,00QB,0.0,UMTS,NJ8724200166
T-Mobile,SECTOR,1800,0.0,AB130,0.0,AberdeenCity,00QA,0.0,GSM,NJ8632502450
Vodafone,Macro,900,0.0,AB140,0.0,AberdeenCity,00QA,0.0,GSM,NJ8078001880
,,,100.0,AB154,0.0,AberdeenCity,,0.0,,
Vodafone,Macro,2100,100.0,AB155,100.0,AberdeenCity,00QA,0.0,UMTS,NJ9247006470
Vodafone,Macro,2100,100.0,AB156,0.0,AberdeenCity,00QA,0.0,UMTS,NJ9096005700
Vodafone,Macro,2100,100.0,AB157,0.0,AberdeenCity,00QA,0.0,UMTS,NJ9149103971
Vodafone,Macro,2100,22.07078042,AB158,0.0,AberdeenCity,00QA,0.0,UMTS,NJ9079204537
Vodafone,Macro,2100,100.0,AB159,0.0,AberdeenCity,00QA,0.0,UMTS,NJ9047003630
Vodafone,Macro,2100,100.0,AB165,100.0,AberdeenCity,00QA,0.0,UMTS,NJ9030508305
